station_id,start_date,end_date,elevation,ycoord,xcoord,name
00174,19840301,19871231,250,49.1886,7.9766,Annweiler-Bindersbach
00377,19470101,20240311,210,49.107,7.9967,"Bergzabern,"
01072,19520101,20240311,107,49.4719,8.1929,"Dürkheim,"
01073,19360101,19521231,115,49.4686,8.1797,"Dürkheim,"
01428,19480101,19571231,230,49.2275,8.0585,Frankweiler
02522,18760101,20081031,112,49.0382,8.3641,Karlsruhe
03007,19470101,19551231,96,49.4111,8.398,Limburgerhof
03076,19470101,19561231,95,49.4606,8.4246,Ludwigshafen-Mundenheim
03575,19510101,19821231,163,49.357,8.1405,Neustadt/Weinstraße
03576,19760101,20021031,125,49.3478,8.1822,Neustadt/Weinstraße
03929,19480101,19850930,100,49.2511,8.4415,Philippsburg
04177,19480101,20240311,116,48.9726,8.3301,Rheinstetten
05426,19530101,20240311,553,49.3758,8.1212,Weinbiet
06243,20180712,20240311,96,49.2506,8.4422,Philippsburg
